Linda Clark
456 Elm St
Georgetown, AZ 39794

Date		Time	Number		Drtn	Cost
-----------------------------------------------------
20200319	0956	2122499991	26	0.83
20200707	0652	3122593850	63	1.00
20200201	0607	2122365835	45	1.76
20200512	1752	2122277678	56	1.28
20201019	2252	3102379342	40	0.10
20200802	1306	4042568364	40	0.92
20201104	1829	3102175593	22	1.49
20201220	0323	4152385246	26	0.71
20201103	0629	3102446735	14	1.81
20200909	2135	4152467284	68	1.96
20200802	0033	2122301773	49	1.82
20200113	1549	3122552789	32	0.11
20201123	1015	2122599604	54	1.93
20200528	0047	2122606478	57	0.76
20200218	1413	3102121379	30	0.75
20200724	1239	2122489938	37	0.62
20200529	2123	4042497821	20	0.16
20201124	0438	3102522398	51	1.00
20200116	1158	3102486999	58	1.58
20200614	0445	3102227091	10	0.24
20200726	1757	3122365228	68	1.68
20201028	2020	4042211347	54	1.57
20200629	1719	4042339086	34	1.38
20201021	1612	3122415690	45	1.54
20200724	0619	4152296860	22	1.51
